hs_Character,hs_Rank_Rich_Nationality,hs_Rank_Rich_NativePlace_Cn,hs_Rank_Rich_NativePlace_En,hs_Rank_Rich_BirthPlace_Cn,hs_Rank_Rich_BirthPlace_En,hs_Rank_Rich_Permanent_Cn,hs_Rank_Rich_Permanent_En,hs_Rank_Rich_Photo,hs_Rank_Rich_Age,hs_Rank_Rich_Gender,hs_Rank_Rich_Education_Cn,hs_Rank_Rich_Education_En,hs_Rank_Rich_School_Cn,hs_Rank_Rich_School_En,hs_Rank_Rich_Year,hs_Rank_Rich_Relations,hs_Rank_Rich_MTime,hs_Rank_Rich_ID,hs_Rank_Rich_ListID,hs_Rank_Rich_Ranking,hs_Rank_Rich_Ranking_Change,hs_Rank_Rich_Wealth,hs_Rank_Rich_Wealth_USD,hs_Rank_Rich_Wealth_Change,hs_Rank_Rich_Certificate,hs_Rank_Rich_ChaName_Cn,hs_Rank_Rich_ChaName_En,hs_Rank_Rich_Cha_ID,hs_Rank_Rich_ComName_Cn,hs_Rank_Rich_ComName_En,hs_Rank_Rich_ComHeadquarters_Cn,hs_Rank_Rich_ComHeadquarters_En,hs_Rank_Rich_Industry_Cn,hs_Rank_Rich_Industry_En,hs_Rank_Rich_Com_ID,hs_RichAndCha
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1983-01-01', 'hs_Character_Age': '41', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 22, 'hs_Character_Fullname_Cn': '张一鸣', 'hs_Character_Fullname_En': 'Zhang Yiming', 'hs_Character_Surname_Cn': '张', 'hs_Character_Name_Cn': '一鸣', 'hs_Character_Surname_En': 'Zhang', 'hs_Character_Name_En': 'Yiming', 'hs_Character_Photo': 'https://res.hurun.net/photo/000022_Zhang_Yiming.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '', 'hs_Character_NativePlace_En': '', 'hs_Character_BirthPlace_Cn': '中国-福建-龙岩', 'hs_Character_BirthPlace_En': 'China-Fujian-Longyan', 'hs_Character_Permanent_Cn': '中国-北京', 'hs_Character_Permanent_En': 'China-Beijing', 'hs_Character_Education_Cn': '本科', 'hs_Character_Education_En': 'Undergraduate', 'hs_Character_School_Cn': '南开', 'hs_Character_School_En': '南开大学', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27554,208,1,4,3500.0,49300.0,43%,,张一鸣,Zhang Yiming,22,字节跳动,ByteDance,北京,Beijing,社交媒体,Social Media,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1954-11-01', 'hs_Character_Age': '70', 'hs_Character_MTime': '2020-10-20 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 5216, 'hs_Character_Fullname_Cn': '钟睒睒', 'hs_Character_Fullname_En': 'Zhong Shanshan', 'hs_Character_Surname_Cn': '', 'hs_Character_Name_Cn': '', 'hs_Character_Surname_En': '', 'hs_Character_Name_En': '', 'hs_Character_Photo': 'https://res.hurun.net/photo/005216_Zhong_Shanshan.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '', 'hs_Character_NativePlace_En': '', 'hs_Character_BirthPlace_Cn': '中国-浙江-绍兴', 'hs_Character_BirthPlace_En': '', 'hs_Character_Permanent_Cn': '中国-浙江-杭州', 'hs_Character_Permanent_En': '', 'hs_Character_Education_Cn': '', 'hs_Character_Education_En': '', 'hs_Character_School_Cn': '', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27555,208,2,-1,3400.0,47900.0,-24%,,钟睒睒,Zhong Shanshan,5216,养生堂,YST,浙江杭州,Zhejiang,饮料、医疗保健,"Drinks, Pharmaceuticals",0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1971-10-01', 'hs_Character_Age': '53', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 2, 'hs_Character_Fullname_Cn': '马化腾', 'hs_Character_Fullname_En': 'Ma Huateng', 'hs_Character_Surname_Cn': '马', 'hs_Character_Name_Cn': '化腾', 'hs_Character_Surname_En': 'Ma', 'hs_Character_Name_En': 'Huateng', 'hs_Character_Photo': 'https://res.hurun.net/photo/000002_Ma_Huateng.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-广东-汕头', 'hs_Character_NativePlace_En': 'China-Guangdong-Shantou', 'hs_Character_BirthPlace_Cn': '中国-海南', 'hs_Character_BirthPlace_En': 'China-Hainan', 'hs_Character_Permanent_Cn': '中国-广东-深圳', 'hs_Character_Permanent_En': 'China-Guangdong-Shenzhen', 'hs_Character_Education_Cn': '本科', 'hs_Character_Education_En': 'Undergraduate', 'hs_Character_School_Cn': '深圳大学', 'hs_Character_School_En': '深圳大学计算机与软件学院', 'hs_Character_Major_Cn': 'Shenzhen University', 'hs_Character_Major_En': '冶金系金相专业'}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27556,208,3,-1,3150.0,44400.0,13%,,马化腾,Ma Huateng,2,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1980-01-01', 'hs_Character_Age': '44', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 7, 'hs_Character_Fullname_Cn': '黄峥', 'hs_Character_Fullname_En': 'Huang Zheng', 'hs_Character_Surname_Cn': '黄', 'hs_Character_Name_Cn': '峥', 'hs_Character_Surname_En': 'Huang', 'hs_Character_Name_En': 'Zheng', 'hs_Character_Photo': 'https://res.hurun.net/photo/000007_Huang_Zheng.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-浙江-杭州', 'hs_Character_NativePlace_En': 'China-Zhejiang-Hangzhou', 'hs_Character_BirthPlace_Cn': '中国-浙江-杭州', 'hs_Character_BirthPlace_En': 'China-Zhejiang-Hangzhou', 'hs_Character_Permanent_Cn': '中国-上海', 'hs_Character_Permanent_En': 'China-Shanghai', 'hs_Character_Education_Cn': '硕士', 'hs_Character_Education_En': 'Master s', 'hs_Character_School_Cn': '浙大、威斯康星大学', 'hs_Character_School_En': '威斯康星大学麦迪逊分校', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27557,208,4,-1,2450.0,34500.0,-9%,,黄峥,Huang Zheng,7,拼多多,Pinduoduo,上海长宁,Shanghai,购物网站,E-Commerce,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1942-01-01', 'hs_Character_Age': '82', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 4, 'hs_Character_Fullname_Cn': '何享健', 'hs_Character_Fullname_En': 'He Xiangjian', 'hs_Character_Surname_Cn': '何', 'hs_Character_Name_Cn': '享健', 'hs_Character_Surname_En': 'He', 'hs_Character_Name_En': 'Xiangjian', 'hs_Character_Photo': 'https://res.hurun.net/photo/000004_He_Xiangjian.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-广东-佛山', 'hs_Character_NativePlace_En': 'China-Guangdong-Foshan', 'hs_Character_BirthPlace_Cn': '中国-广东-佛山', 'hs_Character_BirthPlace_En': 'China-Guangdong-Foshan', 'hs_Character_Permanent_Cn': '中国-广东-佛山', 'hs_Character_Permanent_En': 'China-Guangdong-Foshan', 'hs_Character_Education_Cn': '', 'hs_Character_Education_En': '', 'hs_Character_School_Cn': '', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,家族,2024-10-29 12:00:00,27558,208,5,3,2350.0,33100.0,18%,,何享健,He Xiangjian,4,美的,Midea,广东佛山,Guangdong,家电制造,Household Appliances,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1968-01-01', 'hs_Character_Age': '56', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 57, 'hs_Character_Fullname_Cn': '曾毓群', 'hs_Character_Fullname_En': 'Zeng Yuqun', 'hs_Character_Surname_Cn': '曾', 'hs_Character_Name_Cn': '毓群', 'hs_Character_Surname_En': 'Zeng', 'hs_Character_Name_En': 'Yuqun', 'hs_Character_Photo': 'https://res.hurun.net/photo/000057_Zeng_Yuqun.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '', 'hs_Character_NativePlace_En': '', 'hs_Character_BirthPlace_Cn': '中国-福建-宁德', 'hs_Character_BirthPlace_En': 'China-Fujian-Ningde', 'hs_Character_Permanent_Cn': '中国-福建-宁德', 'hs_Character_Permanent_En': 'China-Fujian-Ningde', 'hs_Character_Education_Cn': '博士', 'hs_Character_Education_En': 'Doctorate', 'hs_Character_School_Cn': '上交大、中科院', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27559,208,6,-2,2000.0,28200.0,-20%,,曾毓群,Zeng Yuqun,57,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1971-10-01', 'hs_Character_Age': '53', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 8, 'hs_Character_Fullname_Cn': '丁磊', 'hs_Character_Fullname_En': 'Ding Lei', 'hs_Character_Surname_Cn': '丁', 'hs_Character_Name_Cn': '磊', 'hs_Character_Surname_En': 'Ding', 'hs_Character_Name_En': 'Lei', 'hs_Character_Photo': 'https://res.hurun.net/photo/000008_Ding_Lei.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-浙江-宁波', 'hs_Character_NativePlace_En': 'China-Zhejiang-Ningbo', 'hs_Character_BirthPlace_Cn': '中国-浙江-宁波', 'hs_Character_BirthPlace_En': 'China-Zhejiang-Ningbo', 'hs_Character_Permanent_Cn': '中国-浙江-杭州', 'hs_Character_Permanent_En': 'China-Zhejiang-Hangzhou', 'hs_Character_Education_Cn': '本科', 'hs_Character_Education_En': 'Undergraduate', 'hs_Character_School_Cn': '电子科技', 'hs_Character_School_En': '电子科技大学', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,未知,2024-10-29 12:00:00,27560,208,6,0,2000.0,28200.0,-17%,,丁磊,Ding Lei,8,网易,Netease,浙江杭州,Zhejiang,互联网技术,Internet Services,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1928-01-01', 'hs_Character_Age': '96', 'hs_Character_MTime': '2021-10-26 10:02:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 6443, 'hs_Character_Fullname_Cn': '李嘉诚', 'hs_Character_Fullname_En': 'Li Ka-shing', 'hs_Character_Surname_Cn': '李', 'hs_Character_Name_Cn': '嘉诚', 'hs_Character_Surname_En': '', 'hs_Character_Name_En': '', 'hs_Character_Photo': 'https://res.hurun.net/default/icon_men.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-广东-潮州', 'hs_Character_NativePlace_En': 'China-Guangdong-Chaozhou', 'hs_Character_BirthPlace_Cn': '中国-香港', 'hs_Character_BirthPlace_En': 'China-Hong Kong', 'hs_Character_Permanent_Cn': '中国-香港', 'hs_Character_Permanent_En': 'China-Hong Kong', 'hs_Character_Education_Cn': '', 'hs_Character_Education_En': '', 'hs_Character_School_Cn': '', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}, {'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1964-01-01', 'hs_Character_Age': '60', 'hs_Character_MTime': '2023-10-23 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 10692, 'hs_Character_Fullname_Cn': '李泽钜', 'hs_Character_Fullname_En': 'Victor Li Tzar Kuoi', 'hs_Character_Surname_Cn': '李', 'hs_Character_Name_Cn': '泽钜', 'hs_Character_Surname_En': '', 'hs_Character_Name_En': '', 'hs_Character_Photo': 'https://res.hurun.net/default/icon_men.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '', 'hs_Character_NativePlace_En': '', 'hs_Character_BirthPlace_Cn': '中国-广东-潮州', 'hs_Character_BirthPlace_En': '', 'hs_Character_Permanent_Cn': '中国-香港', 'hs_Character_Permanent_En': 'Hong Kong', 'hs_Character_Education_Cn': '', 'hs_Character_Education_En': '', 'hs_Character_School_Cn': '', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,父子,2024-10-29 12:00:00,27561,208,6,1,2000.0,28200.0,-5%,,李嘉诚、李泽钜,Li Ka-shing、Victor Li Tzar Kuoi,6443、10692,长江实业,Cheung Kong,香港,Hong Kong,投资,Investments,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1928-01-01', 'hs_Character_Age': '96', 'hs_Character_MTime': '2021-10-26 10:02:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 6444, 'hs_Character_Fullname_Cn': '李兆基', 'hs_Character_Fullname_En': 'Lee Shau Kee', 'hs_Character_Surname_Cn': '李', 'hs_Character_Name_Cn': '兆基', 'hs_Character_Surname_En': '', 'hs_Character_Name_En': '', 'hs_Character_Photo': 'https://res.hurun.net/default/icon_men.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-广东-佛山', 'hs_Character_NativePlace_En': 'China-Guangdong-Foshan', 'hs_Character_BirthPlace_Cn': '中国-广东-佛山', 'hs_Character_BirthPlace_En': 'China-Guangdong-Foshan', 'hs_Character_Permanent_Cn': '中国-香港', 'hs_Character_Permanent_En': 'China-Hong Kong', 'hs_Character_Education_Cn': '', 'hs_Character_Education_En': '', 'hs_Character_School_Cn': '', 'hs_Character_School_En': '', 'hs_Character_Major_Cn': '', 'hs_Character_Major_En': ''}]",,,,,,,,,,,,,,,2024,家族,2024-10-29 12:00:00,27562,208,9,2,1750.0,24600.0,9%,,李兆基,Lee Shau Kee,6444,恒基兆业,Henderson Land,香港,Hong Kong,房地产,Estate Holding,0,
"[{'hs_Character_Gender': '先生', 'hs_Character_Birthday': '1964-10-15', 'hs_Character_Age': '60', 'hs_Character_MTime': '1905-06-30 12:00:00', 'hs_Character_Gender_Lang': '先生', 'hs_Character_ID': 1, 'hs_Character_Fullname_Cn': '马云', 'hs_Character_Fullname_En': 'Ma Yun', 'hs_Character_Surname_Cn': '马', 'hs_Character_Name_Cn': '云', 'hs_Character_Surname_En': 'Ma', 'hs_Character_Name_En': 'Yun', 'hs_Character_Photo': 'https://res.hurun.net/photo/000001_Ma_Yun.jpg', 'hs_Character_Nationality': 198, 'hs_Character_NativePlace_Cn': '中国-浙江-绍兴', 'hs_Character_NativePlace_En': 'China-Zhejiang-Shaoxing', 'hs_Character_BirthPlace_Cn': '中国-浙江-杭州', 'hs_Character_BirthPlace_En': 'China-Zhejiang-Hangzhou', 'hs_Character_Permanent_Cn': '中国-浙江-杭州', 'hs_Character_Permanent_En': 'China-Zhejiang-Hangzhou', 'hs_Character_Education_Cn': '本科', 'hs_Character_Education_En': 'Undergraduate', 'hs_Character_School_Cn': '杭州师范学院', 'hs_Character_School_En': '杭州师范学院', 'hs_Character_Major_Cn': 'Hangzhou Normal University', 'hs_Character_Major_En': '英语专业'}]",,,,,,,,,,,,,,,2024,家族,2024-10-29 12:00:00,27563,208,10,0,1650.0,23200.0,-3%,,马云,Ma Yun,1,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-Commerce, Fintech",0,
