名字,彩龄,文章数量,大乐透一等奖次数,大乐透二等奖次数,大乐透三等奖次数,总得分
wdg798,5,1265,5,2,16,35
江流儿,6,892,4,6,16,40
两彩王,12,1313,9,4,24,59
数字彩迷,8,1004,6,6,11,41
无空,7,1550,1,5,16,29
周武王,11,1280,13,2,23,66
穆天子,7,1123,3,1,6,17
道安,6,1204,8,4,18,50
张三哥,9,1309,10,4,15,53
彪哥推荐,12,1257,4,6,12,36
柳一刀,6,1122,3,0,23,32
阳明王,9,1241,5,5,15,40
太乙真人,8,894,3,6,20,41
神十三,10,1567,7,6,20,53
乐猜猜,6,1103,1,8,4,23
李德胜,11,1409,5,2,22,41
彩灵通,7,1016,9,2,17,48
慧远,7,1156,9,4,15,50
韩非子,7,1235,6,6,22,52
大成子,8,1140,6,6,14,44
长买长红,15,1496,1,0,11,14
